x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
0.405,0.41,0.415,0.42,0.43,0.44,0.45,0.46,0.47,0.5,0.53,0.56,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0
0.92,0.92,0.99,0.9,0.98,0.93,0.87,0.94,0.89,0.88,0.85,0.82,0.75,0.72,0.69,0.6,0.59,0.51,0.52,0.49,0.48
